rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
10312	PCDHGA7	protocadherin gamma subfamily A, 7	1192082	1	1	1	3	0	0	0	1	0	0	1.000	0.988	NaN	NaN	NaN	1.000	1.000
10313	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	1448920	1	1	1	2	0	1	0	0	0	0	1.000	0.964	NaN	NaN	NaN	1.000	1.000
10314	PDZD8	PDZ domain containing 8	1357284	1	1	1	2	0	0	1	0	0	0	1.000	0.978	NaN	NaN	NaN	1.000	1.000
10315	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	1513010	1	1	1	2	1	0	0	0	0	0	1.000	0.965	NaN	NaN	NaN	1.000	1.000
10316	PKD2L2	polycystic kidney disease 2-like 2	852854	1	1	1	2	0	0	0	1	0	0	1.000	0.998	NaN	NaN	NaN	1.000	1.000
10317	POGK	pogo transposable element with KRAB domain	782527	1	1	1	2	0	0	0	1	0	0	1.000	0.996	NaN	NaN	NaN	1.000	1.000
10318	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	1423205	1	1	1	3	0	0	0	1	0	0	1.000	0.996	NaN	NaN	NaN	1.000	1.000
10319	PRC1	protein regulator of cytokinesis 1	865433	1	1	1	2	0	0	0	1	0	0	1.000	0.984	NaN	NaN	NaN	1.000	1.000
10320	PRPF19	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)	665797	1	1	1	2	0	1	0	0	0	0	1.000	0.975	NaN	NaN	NaN	1.000	1.000
10321	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	607816	1	1	1	2	0	1	0	0	0	0	1.000	0.985	NaN	NaN	NaN	1.000	1.000
10322	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	1321724	1	1	1	2	0	0	1	0	0	0	1.000	0.984	NaN	NaN	NaN	1.000	1.000
10323	PTK2	PTK2 protein tyrosine kinase 2	1479713	1	1	1	2	0	0	0	1	0	0	1.000	0.996	NaN	NaN	NaN	1.000	1.000
10324	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	810165	1	1	1	2	0	1	0	0	0	0	1.000	0.965	NaN	NaN	NaN	1.000	1.000
10325	PXN	paxillin	635761	1	1	1	2	0	0	0	1	0	0	1.000	0.986	NaN	NaN	NaN	1.000	1.000
10326	PYGO1	pygopus homolog 1 (Drosophila)	570814	1	1	1	2	0	1	0	0	0	0	1.000	0.962	NaN	NaN	NaN	1.000	1.000
10327	RAB3GAP2	RAB3 GTPase activating protein subunit 2 (non-catalytic)	1925220	1	1	1	2	0	0	0	1	0	0	1.000	0.984	NaN	NaN	NaN	1.000	1.000
10328	RAB43	RAB43, member RAS oncogene family	180244	1	1	1	2	1	0	0	0	0	0	1.000	0.988	NaN	NaN	NaN	1.000	1.000
10329	RET	ret proto-oncogene	1301936	1	1	1	3	0	1	0	0	0	0	1.000	0.995	NaN	NaN	NaN	1.000	1.000
10330	RFPL2	ret finger protein-like 2	530474	1	1	1	3	0	0	0	1	0	0	1.000	0.998	NaN	NaN	NaN	1.000	1.000
10331	RHCG	Rh family, C glycoprotein	619678	1	1	1	2	1	0	0	0	0	0	1.000	0.924	NaN	NaN	NaN	1.000	1.000
10332	RORC	RAR-related orphan receptor C	679039	1	1	1	2	1	0	0	0	0	0	1.000	0.992	NaN	NaN	NaN	1.000	1.000
10333	RPL22L1	ribosomal protein L22-like 1	162559	1	1	1	2	0	0	0	1	0	0	1.000	0.994	NaN	NaN	NaN	1.000	1.000
10334	RPL3	ribosomal protein L3	490576	1	1	1	2	0	0	0	1	0	0	1.000	0.987	NaN	NaN	NaN	1.000	1.000
10335	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	837100	1	1	1	2	1	0	0	0	0	0	1.000	0.983	NaN	NaN	NaN	1.000	1.000
10336	RUSC2	RUN and SH3 domain containing 2	1675018	1	1	1	2	0	1	0	0	0	0	1.000	0.977	NaN	NaN	NaN	1.000	1.000
10337	SAGE1	sarcoma antigen 1	1241616	1	1	1	2	0	0	0	1	0	0	1.000	0.993	NaN	NaN	NaN	1.000	1.000
10338	SAMD14	sterile alpha motif domain containing 14	433710	1	1	1	2	0	0	1	0	0	0	1.000	0.986	NaN	NaN	NaN	1.000	1.000
10339	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	1316827	1	1	1	2	0	1	0	0	0	0	1.000	0.959	NaN	NaN	NaN	1.000	1.000
10340	SHANK2	SH3 and multiple ankyrin repeat domains 2	1862252	1	1	1	2	0	0	0	1	0	0	1.000	0.986	NaN	NaN	NaN	1.000	1.000
10341	SIGLEC11	sialic acid binding Ig-like lectin 11	647008	1	1	1	2	0	1	0	0	0	0	1.000	0.932	NaN	NaN	NaN	1.000	1.000
10342	SIGLEC12	sialic acid binding Ig-like lectin 12	812186	1	1	1	2	0	1	0	0	0	0	1.000	0.971	NaN	NaN	NaN	1.000	1.000
10343	SLC13A4	solute carrier family 13 (sodium/sulfate symporters), member 4	816353	1	1	1	2	0	1	0	0	0	0	1.000	0.909	NaN	NaN	NaN	1.000	1.000
10344	SLC23A2	solute carrier family 23 (nucleobase transporters), member 2	895167	1	1	1	2	0	1	0	0	0	0	1.000	0.974	NaN	NaN	NaN	1.000	1.000
10345	SLC25A44	solute carrier family 25, member 44	424978	1	1	1	2	1	0	0	0	0	0	1.000	0.994	NaN	NaN	NaN	1.000	1.000
10346	SLC26A8	solute carrier family 26, member 8	1345329	1	1	1	2	0	0	0	1	0	0	1.000	0.978	NaN	NaN	NaN	1.000	1.000
10347	SLC45A1	solute carrier family 45, member 1	848977	1	1	1	2	0	0	1	0	0	0	1.000	0.969	NaN	NaN	NaN	1.000	1.000
10348	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	1025621	1	1	1	2	0	0	0	1	0	0	1.000	0.968	NaN	NaN	NaN	1.000	1.000
10349	SLC7A4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4	714324	1	1	1	3	0	0	0	1	0	0	1.000	0.992	NaN	NaN	NaN	1.000	1.000
10350	SLFN11	schlafen family member 11	1100899	1	1	1	2	0	0	0	1	0	0	1.000	0.988	NaN	NaN	NaN	1.000	1.000
10351	SORCS3	sortilin-related VPS10 domain containing receptor 3	1419726	1	1	1	2	0	1	0	0	0	0	1.000	0.978	NaN	NaN	NaN	1.000	1.000
10352	SPTBN2	spectrin, beta, non-erythrocytic 2	2425251	1	1	1	5	1	0	0	0	0	0	1.000	0.999	NaN	NaN	NaN	1.000	1.000
10353	SST	somatostatin	127619	1	1	1	2	1	0	0	0	0	0	1.000	0.977	NaN	NaN	NaN	1.000	1.000
10354	STAG3	stromal antigen 3	1697451	1	1	1	2	0	0	1	0	0	0	1.000	0.953	NaN	NaN	NaN	1.000	1.000
10355	STX19	syntaxin 19	399413	1	1	1	2	0	0	0	1	0	0	1.000	0.989	NaN	NaN	NaN	1.000	1.000
10356	TECPR2	tectonin beta-propeller repeat containing 2	1708252	1	1	1	2	1	0	0	0	0	0	1.000	0.938	NaN	NaN	NaN	1.000	1.000
10357	TECRL	trans-2,3-enoyl-CoA reductase-like	505039	1	1	1	2	0	0	0	1	0	0	1.000	0.984	NaN	NaN	NaN	1.000	1.000
10358	TEX14	testis expressed 14	2056608	1	1	1	2	0	0	0	1	0	0	1.000	0.992	NaN	NaN	NaN	1.000	1.000
10359	THBS2	thrombospondin 2	1401995	1	1	1	3	1	0	0	0	0	0	1.000	0.996	NaN	NaN	NaN	1.000	1.000
10360	TMEM132B	transmembrane protein 132B	1427817	1	1	1	2	0	0	1	0	0	0	1.000	0.972	NaN	NaN	NaN	1.000	1.000
10361	TMPRSS9	transmembrane protease, serine 9	1033321	1	1	1	2	1	0	0	0	0	0	1.000	0.933	NaN	NaN	NaN	1.000	1.000
10362	TOM1L1	target of myb1 (chicken)-like 1	668930	1	1	1	2	0	0	1	0	0	0	1.000	0.962	NaN	NaN	NaN	1.000	1.000
10363	TOX2	TOX high mobility group box family member 2	631841	1	1	1	2	1	0	0	0	0	0	1.000	0.913	NaN	NaN	NaN	1.000	1.000
10364	TRIM29	tripartite motif-containing 29	718235	1	1	1	2	0	0	1	0	0	0	1.000	0.988	NaN	NaN	NaN	1.000	1.000
10365	TRIM45	tripartite motif-containing 45	756197	1	1	1	2	1	0	0	0	0	0	1.000	0.951	NaN	NaN	NaN	1.000	1.000
10366	TRIP10	thyroid hormone receptor interactor 10	716695	1	1	1	2	0	0	0	1	0	0	1.000	0.983	NaN	NaN	NaN	1.000	1.000
10367	TRO	trophinin	1816247	1	1	1	5	0	0	1	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10368	TTYH2	tweety homolog 2 (Drosophila)	699673	1	1	1	3	0	1	0	0	0	0	1.000	0.985	NaN	NaN	NaN	1.000	1.000
10369	TXNDC11	thioredoxin domain containing 11	1154141	1	1	1	2	0	0	0	1	0	0	1.000	0.992	NaN	NaN	NaN	1.000	1.000
10370	UNC13A	unc-13 homolog A (C. elegans)	1935446	1	1	1	2	0	0	0	1	0	0	1.000	0.980	NaN	NaN	NaN	1.000	1.000
10371	UNC13D	unc-13 homolog D (C. elegans)	1149798	1	1	1	2	0	0	0	1	0	0	1.000	0.985	NaN	NaN	NaN	1.000	1.000
10372	UNC5CL	unc-5 homolog C (C. elegans)-like	577594	1	1	1	2	0	0	0	1	0	0	1.000	0.988	NaN	NaN	NaN	1.000	1.000
10373	UNC80	unc-80 homolog (C. elegans)	2524140	1	1	1	2	0	0	0	1	0	0	1.000	0.995	NaN	NaN	NaN	1.000	1.000
10374	UQCRC2	ubiquinol-cytochrome c reductase core protein II	637959	1	1	1	2	0	1	0	0	0	0	1.000	0.960	NaN	NaN	NaN	1.000	1.000
10375	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	1354796	1	1	1	2	0	1	0	0	0	0	1.000	0.969	NaN	NaN	NaN	1.000	1.000
10376	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	1323548	1	1	1	2	0	0	0	1	0	0	1.000	0.992	NaN	NaN	NaN	1.000	1.000
10377	WARS	tryptophanyl-tRNA synthetase	652364	1	1	1	2	0	0	0	1	0	0	1.000	0.995	NaN	NaN	NaN	1.000	1.000
10378	ZBTB10	zinc finger and BTB domain containing 10	810173	1	1	1	2	0	1	0	0	0	0	1.000	0.961	NaN	NaN	NaN	1.000	1.000
10379	ZC3H3	zinc finger CCCH-type containing 3	842294	1	1	1	2	0	0	0	1	0	0	1.000	0.982	NaN	NaN	NaN	1.000	1.000
10380	ZFP91	zinc finger protein 91 homolog (mouse)	654740	1	1	1	2	0	0	1	0	0	0	1.000	0.981	NaN	NaN	NaN	1.000	1.000
10381	ZNF221	zinc finger protein 221	839990	1	1	1	2	0	0	0	1	0	0	1.000	0.995	NaN	NaN	NaN	1.000	1.000
10382	ZNF223	zinc finger protein 223	655095	1	1	1	2	0	0	0	1	0	0	1.000	0.994	NaN	NaN	NaN	1.000	1.000
10383	ZNF789	zinc finger protein 789	598645	1	1	1	2	0	0	0	1	0	0	1.000	0.987	NaN	NaN	NaN	1.000	1.000
10384	A2BP1	RNA binding protein, fox-1 homolog (C. elegans) 1	606888	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10385	A4GALT	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	325206	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10386	AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	752927	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10387	AACS	acetoacetyl-CoA synthetase	879901	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10388	AADACL2	arylacetamide deacetylase-like 2	546322	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10389	AANAT	arylalkylamine N-acetyltransferase	175069	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10390	AARSD1	alanyl-tRNA synthetase domain containing 1	798045	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10391	AATF	apoptosis antagonizing transcription factor	735163	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10392	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	783552	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10393	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	1002230	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10394	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	769966	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10395	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	564974	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10396	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	875471	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10397	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	984051	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10398	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	913083	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10399	ABHD1	abhydrolase domain containing 1	555819	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10400	ABHD10	abhydrolase domain containing 10	392005	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10401	ABHD12B	abhydrolase domain containing 12B	365318	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10402	ABHD13	abhydrolase domain containing 13	447466	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10403	ABHD14A	abhydrolase domain containing 14A	279464	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10404	ABHD14B	abhydrolase domain containing 14B	229924	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10405	ABHD4	abhydrolase domain containing 4	452801	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10406	ABHD5	abhydrolase domain containing 5	469266	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10407	ABHD8	abhydrolase domain containing 8	420578	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10408	ABI3	ABI gene family, member 3	347273	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10409	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	300541	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10410	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	910598	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10411	ABR	active BCR-related gene	1179870	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10412	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	489248	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10413	ACAA2	acetyl-Coenzyme A acyltransferase 2	524969	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10414	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	533687	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10415	ACADL	acyl-Coenzyme A dehydrogenase, long chain	565039	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10416	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain	586211	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10417	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	833195	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10418	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	555684	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10419	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	564967	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10420	ACAT2	acetyl-Coenzyme A acetyltransferase 2	550223	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10421	ACBD3	acyl-Coenzyme A binding domain containing 3	598236	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10422	ACBD7	acyl-Coenzyme A binding domain containing 7	123510	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10423	ACCN1	amiloride-sensitive cation channel 1, neuronal (degenerin)	817454	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10424	ACCN2	amiloride-sensitive cation channel 2, neuronal	734579	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10425	ACCN3	amiloride-sensitive cation channel 3	635154	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10426	ACCN4	amiloride-sensitive cation channel 4, pituitary	675574	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10427	ACCN5	amiloride-sensitive cation channel 5, intestinal	696246	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10428	ACER2	alkaline ceramidase 2	348308	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10429	ACER3	alkaline ceramidase 3	343971	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10430	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	468058	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10431	ACO2	aconitase 2, mitochondrial	1040435	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10432	ACOT11	acyl-CoA thioesterase 11	773577	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10433	ACOT12	acyl-CoA thioesterase 12	719323	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10434	ACOT13	acyl-CoA thioesterase 13	199632	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10435	ACOT4	acyl-CoA thioesterase 4	423221	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10436	ACOT6	acyl-CoA thioesterase 6	276990	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10437	ACOT7	acyl-CoA thioesterase 7	536228	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10438	ACOT9	acyl-CoA thioesterase 9	621384	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10439	ACPL2	acid phosphatase-like 2	654060	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10440	ACPP	acid phosphatase, prostate	595760	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10441	ACPT	acid phosphatase, testicular	355705	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10442	ACRBP	acrosin binding protein	733446	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10443	ACRV1	acrosomal vesicle protein 1	362486	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10444	ACSM4	acyl-CoA synthetase medium-chain family member 4	787060	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10445	ACTA1	actin, alpha 1, skeletal muscle	423368	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10446	ACTA2	actin, alpha 2, smooth muscle, aorta	521771	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10447	ACTL6A	actin-like 6A	602022	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10448	ACTL7A	actin-like 7A	546155	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10449	ACTL7B	actin-like 7B	372638	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10450	ACTN3	actinin, alpha 3	1031054	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10451	ACTR10	actin-related protein 10 homolog (S. cerevisiae)	578504	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10452	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	464344	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10453	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	573546	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10454	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	545121	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10455	ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)	266600	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10456	ACVRL1	activin A receptor type II-like 1	553555	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10457	ACY1	aminoacylase 1	536539	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10458	ACY3	aspartoacylase (aminocyclase) 3	328000	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10459	ACYP1	acylphosphatase 1, erythrocyte (common) type	175836	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10460	ACYP2	acylphosphatase 2, muscle type	141730	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10461	ADA	adenosine deaminase	452307	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10462	ADAL	adenosine deaminase-like	448964	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10463	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	1133870	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10464	ADAM7	ADAM metallopeptidase domain 7	1057023	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10465	ADAM8	ADAM metallopeptidase domain 8	529297	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10466	ADAP2	ArfGAP with dual PH domains 2	490694	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10467	ADARB1	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	936322	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10468	ADAT1	adenosine deaminase, tRNA-specific 1	693373	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10469	ADC	arginine decarboxylase	626608	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10470	ADCK4	aarF domain containing kinase 4	645734	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10471	ADCK5	aarF domain containing kinase 5	438512	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10472	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	152455	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10473	ADD3	adducin 3 (gamma)	976798	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10474	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	516976	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10475	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	547358	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10476	ADIPOQ	adiponectin, C1Q and collagen domain containing	319100	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10477	ADIPOR1	adiponectin receptor 1	517045	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10478	ADIPOR2	adiponectin receptor 2	535057	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10479	ADK	adenosine kinase	496389	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10480	ADM	adrenomedullin	204041	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10481	ADNP	activity-dependent neuroprotector homeobox	1496201	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10482	ADORA1	adenosine A1 receptor	432163	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10483	ADORA3	adenosine A3 receptor	798548	0	0	0	3	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10484	ADPGK	ADP-dependent glucokinase	565205	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10485	ADPRH	ADP-ribosylarginine hydrolase	478179	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10486	ADPRHL2	ADP-ribosylhydrolase like 2	396904	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10487	ADRA1B	adrenergic, alpha-1B-, receptor	449998	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
10488	ADRA1D	adrenergic, alpha-1D-, receptor	285128	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
